1. Events in the passive voice,2. Nominalized events,3. Events in a subordinate clause,4. Events in a condition,5. Events that are counterfactuals,6. Events that are in direct speech,7. Events that are in indirect speech,8. Events that come with a citation,9. Events that are paraphrased,10. Dates,11. Tense of the verbs in the text,12. Aspectual markers of the verbs,13. Events that are in the future and speculative,text,11. Tense of the verbs,6. Events in direct speech,7. Events in indirect speech,4. Events that are in a condition,5. Events that are counterfactual,12. Aspectual markers,11. Tense of the veins in the text,1. Events in the passice voice
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""yes""",[],"""past""","""none""","""no""","none of the casual , often vague reasons explain why such travel had anything to do with her official responsibilities as the second highest ranking union officer , in charge of the iam financial affairs .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","[""02/15/24""]","""present""","""simple""","""no""","and the conduct here is especially egregious because , under the iam constitution , she case 8:24 - cv-00454 - dkc document 1 filed 02/15/24 page 4 of 8 5 has a special obligation as general secretary treasurer to protect the union treasury and the membership from such misappropriation .",,,,,,,,
"""no""","""no""","""no""","""no""","""yes""","""no""","""no""","""no""","""no""",[],"""present""","""none""","""yes""","among other purposes for this travel , defendant cervantes has nothing to do with collective bargaining , has no need to attend the local meetings , has no need to attend local get out the vote drives , has no need to engage in membership training , and especially has no need to do it in houston and nowhere else .",,,,,,,,
"""yes""","""no""","""no""","""no""","""no""",,,"""no""","""no""",[],"""past""","""none""","""no""","upon becoming an international officer of iam , cervantes was moved at considerable iam expense to upper marlboro , maryland , where the iam has its headquarters .",,"""no""","""no""",,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""None""","""no""","for iam accounting purposes , her official domicile is upper marlboro , maryland .",,,,,,,,
"""no""","""no""","""yes""","""yes""","""yes""","""no""","""no""","""no""","""no""",[],"""present""","""modal (is supposed to)""","""yes""","even if her immediate family is in houston , texas , she is supposed to travel there on her own time and only at her own expense .",,,,,,,,
"""yes""","""yes""","""no""","""no""","""no""","""no""","""yes""","""yes""","""no""","[""March 2021"", ""2015""]","""past""","[""simple past""]","""no""","the applicant sandra gardner learned of the misuse of union funds only in march 2021 , when sito pantoja , the iam vice president at the time , obtained copies of her weekly expense reports from 2015 through united states district court for the district of connecticut women & amp ; infants hospital of rhode island , plaintiff , vs. c.a . no . new england health care employees union , district 1199 , seiu , defendant .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","[""1947""]","""present""","""none""","""no""","women & amp ; infants hospitals complaint pursuant to section 301 of the labor management relations act of 1947 ( the lmra ) , 29 u.s.c . 185 , women & amp ; infants hospital of rhode island ( the hospital ) brings this complaint against new england health care employees union , district 1199 , seiu ( the union ) seeking damages as a direct and proximate result of the union inducing , encouraging , and directing union members employed by the hospital to violate the parties collective bargaining agreements by engaging in a partial or complete cessation of work , strike , slowdown , or work stoppage , in addition to declaratory and injunctive relief .",,,,,,,,
"""no""","""yes""","""yes""","""yes""","""no""","""no""","""no""","""no""","""no""","[""May 2022"", ""March 15""]","""present perfect ('has engaged'), present simple ('maintains', 'transacts')""","""perfect aspect ('has engaged')""","""no""","the union has engaged in such conduct beginning in may 2022 and as recently as march 15 , "" ,   venue is proper in this court because the union maintains a principal office in and regularly transacts business in the district of connecticut .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","[""04/13/23""]","""present""","""progressive aspect ('are engaged')""","""no""",the duly authorized officers and case 3:23 - cv-00466 document 1 filed 04/13/23 page 1 of 10 2 agents of the union are engaged in representing and acting for the employee members of the union in the district of connecticut .,,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""none""","""none""","""no""",parties,,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""Past""","""Simple aspect""","""no""",the union members concerted refusal to work is a violation of the contracts and interfered with patient care and caused the hospital damages .,,,,,,,,
"""No""","""Yes""","""No""","""No""","""No""","""No""","""No""","""Yes""","""No""",[],"""Past""","""Simple aspect""","""No""","count i breach of contract section 301 of the lmra , 29 u.s.c . 185 the union authorized the union members concerted refusal to pick up extra shifts on holidays .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""","upon information and belief , the union authorized the union members concerted action of storming meetings and offices during work hours .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","[""04/13/23""]","""N/A""","""N/A""","""no""",case 3:23 - cv-00466 document 1 filed 04/13/23 page 7 of 10 8,,,,,,,,
"""no""","""yes""","""yes""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""none""","""no""",ms . reed advised ms . salome to issue the written discipline and to speak with rivera ( as well as the other roll tunnel operators ) regarding the defaced guidelines .,,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""","accordingly , ms . salome , along with clint kelch ( the union steward ) approached rivera to present him with the disciplinary warning and to discuss the defacement of the posted guidelines .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""simple""","""no""",ms . reed advised ms . salome to issue the written discipline and to speak with rivera ( as well as the other roll tunnel operators ) regarding the defaced guidelines .,,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""","accordingly , ms . salome , along with clint kelch ( the union steward ) approached rivera to present him with the disciplinary warning and to discuss the defacement of the posted guidelines .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""yes""",[],"""past""","""no specific markers""","""no""",rivera was on his clamp truck and ms . salome advised that rivera that she needed to speak with him .,,,,,,,,
"""no""","""no""","""yes""","""no""","""no""","""yes""","""no""","""no""","""no""",[],"""past""",,"""no""","without stopping , rivera told her that he did not have time to speak with her ( his own supervisor ) because he was working and drove by her .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present perfect""","""have (perfect aspect marker)""","""no""","the parties have not agreed to empower arbitrators to establish or enforce supplemental early retirement benefits , or any benefit exclusively reserved to administration under the plan , to retirees .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""January 8""","""present""","""has (perfect aspect)""","""no""","this court has the authority to determine the rights of the parties in connection with their dispute , namely whether the january 8 grievance should be arbitrated or pursued through the plan .",,,,,,,,
"""yes""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""January 8""","""Present""","""Progressive (currently pending)""","""yes""",", "" this dispute is ripe for adjudication , as the january 8 grievance is currently pending to be arbitrated .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present perfect""","""have agreed (perfect aspect)""","""no""",the parties have agreed to stay the arbitration pending the final disposition of this action in the united states courts .,,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",the union members concerted refusal to work is a violation of the contracts and interfered with patient care and caused the hospital damages .,,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""",[],"""past""","""simple""","""no""","count i breach of contract section 301 of the lmra , 29 u.s.c . 185 the union authorized the union members concerted refusal to pick up extra shifts on holidays .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],,"""none""","""no""","upon information and belief , the union authorized the union members concerted action of storming meetings and offices during work hours .","""past""",,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","[""04/13/23""]","""none""","""none""","""no""",case 3:23 - cv-00466 document 1 filed 04/13/23 page 7 of 10 8,,,,,,,,
"""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","[""03/08/24""]","""present""","""modal (is believed)""","""no""","defendant , iom health systems , who conducts business in the state of indiana under the assumed name lutheran hospital of indiana is believed to be a business organized under the laws of the state of delaware with its principal place of business located at 4000 meridian boulevard , franklin , tennessee 37067 and whose registered agent is corporation service company of america with a usdc in / nd case 1:24 - cv-00109 document 1 filed 03/08/24 page 2 of 9 service of process address listed as 135 north pennsylvania street , suite 1610 , indianapolis , indiana , it is believed that this defendant conducts business throughout the united states , including in the northern district of indiana where plaintiff resides and at pertinent times herein employed plaintiff .",,,,,,,,
